id;group;text;condition;time;question;correct
CK1;TraPro;Text1;SE;First;Question2;0
CK1;TraPro;Text1;SE;First;Question3;1
CK1;TraPro;Text1;SE;First;Question4;0
CK1;TraPro;Text1;SE;First;Question5;1
CK1;TraPro;Text2;ELF;Second;Question1;1
CK1;TraPro;Text2;ELF;Second;Question2;1
CK1;TraPro;Text2;ELF;Second;Question3;1
CK1;TraPro;Text2;ELF;Second;Question4;0
CK1;TraPro;Text2;ELF;Second;Question5;1
CK2;TraPro;Text1;SE;Second;Question1;0
CK2;TraPro;Text1;SE;Second;Question2;1
CK2;TraPro;Text1;SE;Second;Question3;0
CK2;TraPro;Text1;SE;Second;Question4;1
CK2;TraPro;Text1;SE;Second;Question5;1
CK2;TraPro;Text2;ELF;First;Question1;1
CK2;TraPro;Text2;ELF;First;Question2;1
CK2;TraPro;Text2;ELF;First;Question3;1
CK2;TraPro;Text2;ELF;First;Question4;0
CK2;TraPro;Text2;ELF;First;Question5;0
CM0;Mul;Text1;SE;Second;Question1;1
CM0;Mul;Text1;SE;Second;Question2;0
CM0;Mul;Text1;SE;Second;Question3;1
CM0;Mul;Text1;SE;Second;Question4;0
CM0;Mul;Text1;SE;Second;Question5;1
CM0;Mul;Text2;ELF;First;Question1;0
CM0;Mul;Text2;ELF;First;Question2;1
CM0;Mul;Text2;ELF;First;Question3;1
CM0;Mul;Text2;ELF;First;Question4;1
CM0;Mul;Text2;ELF;First;Question5;0
CM1;Mul;Text1;SE;First;Question1;1
CM1;Mul;Text1;SE;First;Question2;0
CM1;Mul;Text1;SE;First;Question3;0
CM1;Mul;Text1;SE;First;Question4;1
CM1;Mul;Text1;SE;First;Question5;1
CM1;Mul;Text2;ELF;Second;Question1;0
CM1;Mul;Text2;ELF;Second;Question2;1
CM1;Mul;Text2;ELF;Second;Question3;1
CM1;Mul;Text2;ELF;Second;Question4;1
CM1;Mul;Text2;ELF;Second;Question5;0
CM2;Mul;Text1;ELF;First;Question1;1
CM2;Mul;Text1;ELF;First;Question2;0
CM2;Mul;Text1;ELF;First;Question3;0
CM2;Mul;Text1;ELF;First;Question4;0
CM2;Mul;Text1;ELF;First;Question5;1
